#LEC10024		
#TC  - RIME_ASW_Load_OST_Table
#parameter_id    field_type	description
TC_TAG		LEC10024
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	14	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	36792	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	1359	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	316	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	1	RIME_OST_Rank
LEP10098	8	RIME_OST_Rx_Att
LEP10038	9	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	15	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	33032	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	1695	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	425	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	1	RIME_OST_Rank
LEP10098	7	RIME_OST_Rx_Att
LEP10038	12	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	16	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	30424	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	2071	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	524	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	1	RIME_OST_Rank
LEP10098	6	RIME_OST_Rx_Att
LEP10038	15	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	17	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	22824	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	1665	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	410	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	2	RIME_OST_Rank
LEP10098	5	RIME_OST_Rx_Att
LEP10038	18	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	18	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	19968	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	1903	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	589	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	2	RIME_OST_Rank
LEP10098	5	RIME_OST_Rx_Att
LEP10038	18	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	19	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	21832	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	1603	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	301	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	3	RIME_OST_Rank
LEP10098	4	RIME_OST_Rx_Att
LEP10038	21	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	20	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	19560	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	1789	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	448	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	3	RIME_OST_Rank
LEP10098	0	RIME_OST_Rx_Att
LEP10038	21	RIME_OST_SWST_Rate
LEP10039	3	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	21	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	19560	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	10000	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	448	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	0	RIME_OST_Rank
LEP10098	0	RIME_OST_Rx_Att
LEP10038	0	RIME_OST_SWST_Rate
LEP10039	4	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
LEP10092	22	RIME_OST_Entry_Id
LEP10093	1	RIME_OST_PRI_D
LEP10094	2	RIME_OST_PRI_I
LEP10096	20	RIME_OST_Time_Margin
LEP10095	0	RIME_OST_PresNum
LEP10027	19560	RIME_OST_Blk_Len
LEP10028	Science_Data	RIME_OST_Wait_Flag
LEP10029	Nom_Attenuation	RIME_OST_Gain_Selector
LEP10030	10000	RIME_OST_PRI
LEP10036	High_Band	RIME_OST_Band
LEP10031	0	RIME_OST_Traker_Mode
LEP10032	448	RIME_OST_SWST
LEP10034	0	RIME_OST_Frequency_Shift
LEP10037	0	RIME_OST_Rank
LEP10098	15	RIME_OST_Rx_Att
LEP10038	0	RIME_OST_SWST_Rate
LEP10039	4	RIME_OST_Bit_Number
LEP10040	500	RIME_OST_SWL
LEP10033	100_Microseconds	RIME_OST_Pulse_Selection
LEP10097	300	RIME_OST_SWL_Tck
# 
END_TC
